id,series_code,серия,название,год,имя_файла,путь_исходник,путь_clean,слова_clean,токены_clean,строки_clean,символы_clean,токены_исходник,доля_токенов_сохранено,короткий_текст,для_сравнения,повреждена_очисткой
viola_003,ВТ,Виола Тараканова,Чудовище без красавицы,2001,ВТ_Чудовище без красавицы.txt,txt ВиолаТараканова/03 Чудовище без красавицы.txt,viola/ВТ_Чудовище без красавицы.txt,39144,36992,3804,248716,73138,0.506,,да,
sergeeva_028,ТС,Татьяна Сергеева,Чёрная жемчужина раздора,2019,ТС_Чёрная жемчужина раздора.txt,txt ТатьянаСергеева/27 Чёрная жемчужина раздора.txt,sergeeva/ТС_Чёрная жемчужина раздора.txt,39399,36992,4378,247681,49839,0.742,,да,
dasha_044,ДВ,Даша Васильева,Шесть соток для Робинзона,2012,ДВ_Шесть соток для Робинзона.txt,txt ДашаВасильева/43 Шесть соток для Робинзона.txt,dasha/ДВ_Шесть соток для Робинзона.txt,39553,36992,4403,251062,68277,0.542,,да,
podushkin_015,ИП,Иван Подушкин,Ангел на метле,2007,ИП_Ангел на метле.txt,txt ИванПодушкин/15 Ангел на метле.txt,podushkin/ИП_Ангел на метле.txt,40167,36993,4521,253129,67351,0.549,,да,
podushkin_032,ИП,Иван Подушкин,Бабулька на горошине,2022,ИП_Бабулька на горошине.txt,txt ИванПодушкин/32 Бабулька на горошине.txt,podushkin/ИП_Бабулька на горошине.txt,39221,36993,4322,243308,54475,0.679,,да,
kozlova_011,СК,Степанида Козлова,Бизнес-план трех богатырей,2016,СК_Бизнес-план трех богатырей.txt,txt СтепанидаКозлова/11 Бизнес-план трех богатырей.txt,kozlova/СК_Бизнес-план трех богатырей.txt,39538,36993,4338,249077,62319,0.594,,да,
sergeeva_014,ТС,Татьяна Сергеева,Всем сестрам по мозгам,2012,ТС_Всем сестрам по мозгам.txt,txt ТатьянаСергеева/13 Всем сестрам по мозгам.txt,sergeeva/ТС_Всем сестрам по мозгам.txt,38761,36993,4030,247847,72678,0.509,,да,
dasha_012,ДВ,Даша Васильева,Вынос дела,2000,ДВ_Вынос дела.txt,txt ДашаВасильева/11 Вынос дела.txt,dasha/ДВ_Вынос дела.txt,39308,36993,4135,254597,77710,0.476,,да,
dasha_003,ДВ,Даша Васильева,За всеми зайцами,1999,ДВ_За всеми зайцами.txt,txt ДашаВасильева/02 За всеми зайцами.txt,dasha/ДВ_За всеми зайцами.txt,38732,36993,4012,244313,49515,0.747,,да,
viola_028,ВТ,Виола Тараканова,Замок храпящей красавицы,2011,ВТ_Замок храпящей красавицы.txt,txt ВиолаТараканова/28 Замок храпящей красавицы.txt,viola/ВТ_Замок храпящей красавицы.txt,39181,36993,4125,252026,66242,0.558,,да,
viola_027,ВТ,Виола Тараканова,Страстная ночь в зоопарке,2010,ВТ_Страстная ночь в зоопарке.txt,txt ВиолаТараканова/27 Страстная ночь в зоопарке.txt,viola/ВТ_Страстная ночь в зоопарке.txt,39573,36993,4223,253587,69141,0.535,,да,
podushkin_018,ИП,Иван Подушкин,Тайная связь его величества,2014,ИП_Тайная связь его величества.txt,txt ИванПодушкин/18 Тайная связь его величества.txt,podushkin/ИП_Тайная связь его величества.txt,38819,36993,4153,248089,72173,0.513,,да,
dasha_036,ДВ,Даша Васильева,Темное прошлое Конька-Горбунка (сборник),2010,ДВ_Темное прошлое Конька-Горбунка (сборник).txt,txt ДашаВасильева/35 Темное прошлое Конька-Горбунка (сборник).txt,dasha/ДВ_Темное прошлое Конька-Горбунка (сборник).txt,39888,36993,4288,254336,64371,0.575,,да,
viola_004,ВТ,Виола Тараканова,Урожай ядовитых ягодок,2002,ВТ_Урожай ядовитых ягодок.txt,txt ВиолаТараканова/04 Урожай ядовитых ягодок.txt,viola/ВТ_Урожай ядовитых ягодок.txt,39170,36993,4245,246294,72376,0.511,,да,
dasha_065,ДВ,Даша Васильева,Аллергия на кота Базилио,2021,ДВ_Аллергия на кота Базилио.txt,txt ДашаВасильева/64 Аллергия на кота Базилио.txt,dasha/ДВ_Аллергия на кота Базилио.txt,39141,36994,4444,244266,49448,0.748,,да,
viola_039,ВТ,Виола Тараканова,В когтях у сказки,2016,ВТ_В когтях у сказки.txt,txt ВиолаТараканова/39 В когтях у сказки.txt,viola/ВТ_В когтях у сказки.txt,39588,36994,4329,250889,67763,0.546,,да,
podushkin_014,ИП,Иван Подушкин,Верхом на «Титанике»,2007,ИП_Верхом на «Титанике».txt,txt ИванПодушкин/14 Верхом на «Титанике».txt,podushkin/ИП_Верхом на «Титанике».txt,40410,36994,4656,250712,72379,0.511,,да,
dasha_014,ДВ,Даша Васильева,Домик тетушки лжи,2001,ДВ_Домик тетушки лжи.txt,txt ДашаВасильева/13 Домик тетушки лжи.txt,dasha/ДВ_Домик тетушки лжи.txt,39330,36994,3980,248265,74488,0.497,,да,
podushkin_030,ИП,Иван Подушкин,Иван Грозный на Мальдивах,2021,ИП_Иван Грозный на Мальдивах.txt,txt ИванПодушкин/30 Иван Грозный на Мальдивах.txt,podushkin/ИП_Иван Грозный на Мальдивах.txt,39391,36994,4834,245410,38669,0.957,,да,
viola_040,ВТ,Виола Тараканова,Инкогнито с Бродвея,2017,ВТ_Инкогнито с Бродвея.txt,txt ВиолаТараканова/40 Инкогнито с Бродвея.txt,viola/ВТ_Инкогнито с Бродвея.txt,39653,36994,4574,247410,67057,0.552,,да,
viola_014,ВТ,Виола Тараканова,Кекс в большом городе,2005,ВТ_Кекс в большом городе.txt,txt ВиолаТараканова/14 Кекс в большом городе.txt,viola/ВТ_Кекс в большом городе.txt,39479,36994,3903,250747,83506,0.443,,да,
viola_010,ВТ,Виола Тараканова,Концерт для колобка с оркестром,2004,ВТ_Концерт для колобка с оркестром.txt,txt ВиолаТараканова/10 Концерт для колобка с оркестром.txt,viola/ВТ_Концерт для колобка с оркестром.txt,39561,36994,4291,245696,81382,0.455,,да,
evlampia_054,ЕР,Евлампия Романова,Коронная роль Козы-дерезы,2022,ЕР_Коронная роль Козы-дерезы.txt,txt ЕвлампияРоманова/54 Коронная роль Козы-дерезы.txt,evlampia/ЕР_Коронная роль Козы-дерезы.txt,39626,36994,4428,250192,45086,0.821,,да,
podushkin_008,ИП,Иван Подушкин,Рыбка по имени Зайка,2004,ИП_Рыбка по имени Зайка.txt,txt ИванПодушкин/08 Рыбка по имени Зайка.txt,podushkin/ИП_Рыбка по имени Зайка.txt,39631,36994,4649,251445,79643,0.464,,да,
dasha_041,ДВ,Даша Васильева,Тормоза для блудного мужа,2011,ДВ_Тормоза для блудного мужа.txt,txt ДашаВасильева/40 Тормоза для блудного мужа.txt,dasha/ДВ_Тормоза для блудного мужа.txt,39599,36994,4324,251118,71126,0.52,,да,
viola_037,ВТ,Виола Тараканова,Три желания женщины-мечты,2015,ВТ_Три желания женщины-мечты.txt,txt ВиолаТараканова/37 Три желания женщины-мечты.txt,viola/ВТ_Три желания женщины-мечты.txt,39285,36994,4125,251509,71064,0.521,,да,
evlampia_036,ЕР,Евлампия Романова,Белочка во сне и наяву,2013,ЕР_Белочка во сне и наяву.txt,txt ЕвлампияРоманова/36 Белочка во сне и наяву.txt,evlampia/ЕР_Белочка во сне и наяву.txt,39046,36995,4146,249966,66310,0.558,,да,
kozlova_012,СК,Степанида Козлова,Голое платье звезды,2017,СК_Голое платье звезды.txt,txt СтепанидаКозлова/12 Голое платье звезды.txt,kozlova/СК_Голое платье звезды.txt,39290,36995,4427,247049,67199,0.551,,да,
podushkin_037,ИП,Иван Подушкин,Гризли в белых носочках,2024,ИП_Гризли в белых носочках.txt,txt ИванПодушкин/37 Гризли в белых носочках.txt,podushkin/ИП_Гризли в белых носочках.txt,38834,36995,4402,246137,45348,0.816,,да,
evlampia_034,ЕР,Евлампия Романова,Добрый доктор Айбандит,2012,ЕР_Добрый доктор Айбандит.txt,txt ЕвлампияРоманова/34 Добрый доктор Айбандит.txt,evlampia/ЕР_Добрый доктор Айбандит.txt,39454,36995,4356,251144,65919,0.561,,да,
dasha_076,ДВ,Даша Васильева,За всеми зайцами,1999,ДВ_За всеми зайцами (2).txt,txt ДашаВасильева/Донцова 02 За всеми зайцами.txt,dasha/ДВ_За всеми зайцами (2).txt,38746,36995,3988,244306,49333,0.75,,да,
dasha_059,ДВ,Даша Васильева,Змеиный гаджет,2019,ДВ_Змеиный гаджет.txt,txt ДашаВасильева/58 Змеиный гаджет.txt,dasha/ДВ_Змеиный гаджет.txt,39450,36995,4996,244431,52610,0.703,,да,
evlampia_041,ЕР,Евлампия Романова,Имидж напрокат,2016,ЕР_Имидж напрокат.txt,txt ЕвлампияРоманова/41 Имидж напрокат.txt,evlampia/ЕР_Имидж напрокат.txt,39705,36995,4648,249767,61979,0.597,,да,
dasha_031,ДВ,Даша Васильева,Личное дело женщины-кошки,2007,ДВ_Личное дело женщины-кошки.txt,txt ДашаВасильева/30 Личное дело женщины-кошки.txt,dasha/ДВ_Личное дело женщины-кошки.txt,40241,36995,4947,250531,71223,0.519,,да,
evlampia_055,ЕР,Евлампия Романова,Малютка Интрига,2023,ЕР_Малютка Интрига.txt,txt ЕвлампияРоманова/55 Малютка Интрига.txt,evlampia/ЕР_Малютка Интрига.txt,39769,36995,4803,251342,43020,0.86,,да,
sergeeva_027,ТС,Татьяна Сергеева,Мохнатая лапа Герасима,2019,ТС_Мохнатая лапа Герасима.txt,txt ТатьянаСергеева/26 Мохнатая лапа Герасима.txt,sergeeva/ТС_Мохнатая лапа Герасима.txt,39064,36995,4664,246784,55609,0.665,,да,
dasha_054,ДВ,Даша Васильева,Ночной клуб на Лысой горе,2017,ДВ_Ночной клуб на Лысой горе.txt,txt ДашаВасильева/53 Ночной клуб на Лысой горе.txt,dasha/ДВ_Ночной клуб на Лысой горе.txt,39628,36995,4753,248078,67984,0.544,,да,
viola_032,ВТ,Виола Тараканова,Ночной кошмар Железного Любовника,2013,ВТ_Ночной кошмар Железного Любовника.txt,txt ВиолаТараканова/32 Ночной кошмар Железного Любовника.txt,viola/ВТ_Ночной кошмар Железного Любовника.txt,39271,36995,4437,248613,71547,0.517,,да,
evlampia_035,ЕР,Евлампия Романова,Огнетушитель Прометея,2013,ЕР_Огнетушитель Прометея.txt,txt ЕвлампияРоманова/35 Огнетушитель Прометея.txt,evlampia/ЕР_Огнетушитель Прометея.txt,39068,36995,4243,248109,68777,0.538,,да,
dasha_061,ДВ,Даша Васильева,Пиявка голубых кровей,2020,ДВ_Пиявка голубых кровей.txt,txt ДашаВасильева/60 Пиявка голубых кровей.txt,dasha/ДВ_Пиявка голубых кровей.txt,39676,36995,5016,245132,51210,0.722,,да,
dasha_052,ДВ,Даша Васильева,Свидание под мантией,2016,ДВ_Свидание под мантией.txt,txt ДашаВасильева/51 Свидание под мантией.txt,dasha/ДВ_Свидание под мантией.txt,40664,36995,5132,247779,70958,0.521,,да,
sergeeva_022,ТС,Татьяна Сергеева,Страсти-мордасти рогоносца,2016,ТС_Страсти-мордасти рогоносца.txt,txt ТатьянаСергеева/21 Страсти-мордасти рогоносца.txt,sergeeva/ТС_Страсти-мордасти рогоносца.txt,39214,36995,4273,247614,63317,0.584,,да,
dasha_016,ДВ,Даша Васильева,Улыбка 45-го калибра,2002,ДВ_Улыбка 45-го калибра.txt,txt ДашаВасильева/15 Улыбка 45-го калибра.txt,dasha/ДВ_Улыбка 45-го калибра.txt,39314,36995,4430,248690,71023,0.521,,да,
sergeeva_015,ТС,Татьяна Сергеева,Фуа-гра из топора,2013,ТС_Фуа-гра из топора.txt,txt ТатьянаСергеева/14 Фуа-гра из топора.txt,sergeeva/ТС_Фуа-гра из топора.txt,38684,36995,4122,250211,69144,0.535,,да,
evlampia_059,ЕР,Евлампия Романова,Чудо-юдо на охоте,2024,ЕР_Чудо-юдо на охоте.txt,txt ЕвлампияРоманова/59 Чудо-юдо на охоте.txt,evlampia/ЕР_Чудо-юдо на охоте.txt,39083,36995,4731,249356,38309,0.966,,да,
dasha_024,ДВ,Даша Васильева,Экстрим на сером волке,2004,ДВ_Экстрим на сером волке.txt,txt ДашаВасильева/23 Экстрим на сером волке.txt,dasha/ДВ_Экстрим на сером волке.txt,39393,36995,4418,247461,77471,0.478,,да,
viola_050,ВТ,Виола Тараканова,Алые паруса Синей бороды,2022,ВТ_Алые паруса Синей бороды.txt,txt ВиолаТараканова/50 Алые паруса Синей бороды.txt,viola/ВТ_Алые паруса Синей бороды.txt,39207,36996,4343,246254,49181,0.752,,да,
evlampia_031,ЕР,Евлампия Романова,В постели с Кинг-Конгом,2011,ЕР_В постели с Кинг-Конгом.txt,txt ЕвлампияРоманова/31 В постели с Кинг-Конгом.txt,evlampia/ЕР_В постели с Кинг-Конгом.txt,39107,36996,4097,252903,71249,0.519,,да,
podushkin_034,ИП,Иван Подушкин,Венок из железных одуванчиков,2023,ИП_Венок из железных одуванчиков.txt,txt ИванПодушкин/34 Венок из железных одуванчиков.txt,podushkin/ИП_Венок из железных одуванчиков.txt,39240,36996,4592,246386,44467,0.832,,да,
viola_043,ВТ,Виола Тараканова,Вечный двигатель маразма,2018,ВТ_Вечный двигатель маразма.txt,txt ВиолаТараканова/43 Вечный двигатель маразма.txt,viola/ВТ_Вечный двигатель маразма.txt,39207,36996,4850,245849,56452,0.655,,да,
evlampia_053,ЕР,Евлампия Романова,Девочка Красная Тапочка,2022,ЕР_Девочка Красная Тапочка.txt,txt ЕвлампияРоманова/53 Девочка Красная Тапочка.txt,evlampia/ЕР_Девочка Красная Тапочка.txt,39469,36996,4700,248450,45190,0.819,,да,
kozlova_017,СК,Степанида Козлова,Дед Яга и его дети,2022,СК_Дед Яга и его дети.txt,txt СтепанидаКозлова/17 Дед Яга и его дети.txt,kozlova/СК_Дед Яга и его дети.txt,39505,36996,4539,250406,49738,0.744,,да,
podushkin_036,ИП,Иван Подушкин,Иванушка на курьих ножках,2024,ИП_Иванушка на курьих ножках.txt,txt ИванПодушкин/36 Иванушка на курьих ножках.txt,podushkin/ИП_Иванушка на курьих ножках.txt,38506,36996,4606,246179,46710,0.792,,да,
dasha_001,ДВ,Даша Васильева,Игра в жмурики,1999,ДВ_Игра в жмурики.txt,txt ДашаВасильева/01 Игра в жмурики.txt,dasha/ДВ_Игра в жмурики.txt,38709,36996,4324,235671,42206,0.877,,да,
dasha_074,ДВ,Даша Васильева,Игра в жмурики,1999,ДВ_Игра в жмурики (2).txt,txt ДашаВасильева/Донцова 01 Игра в жмурики.txt,dasha/ДВ_Игра в жмурики (2).txt,38709,36996,4324,235671,42206,0.877,,да,
dasha_077,ДВ,Даша Васильева,Кекс от сапожника (в кн. Новогодний детектив 2015),2015,ДВ_Кекс от сапожника (в кн. Новогодний детектив 2015).txt,txt ДашаВасильева/Кекс от сапожника (в кн. Новогодний детектив 2015).txt,dasha/ДВ_Кекс от сапожника (в кн. Новогодний детектив 2015).txt,39520,36996,4271,240859,53502,0.691,,да,
kozlova_004,СК,Степанида Козлова,Клеопатра с парашютом,2012,СК_Клеопатра с парашютом.txt,txt СтепанидаКозлова/04 Клеопатра с парашютом.txt,kozlova/СК_Клеопатра с парашютом.txt,38987,36996,4240,249257,69476,0.533,,да,
dasha_066,ДВ,Даша Васильева,Коза и семеро волчат,2021,ДВ_Коза и семеро волчат.txt,txt ДашаВасильева/65 Коза и семеро волчат.txt,dasha/ДВ_Коза и семеро волчат.txt,39808,36996,4497,249260,47053,0.786,,да,
podushkin_021,ИП,Иван Подушкин,Коронный номер мистера Х,2016,ИП_Коронный номер мистера Х.txt,txt ИванПодушкин/21 Коронный номер мистера Х.txt,podushkin/ИП_Коронный номер мистера Х.txt,39254,36996,4374,248604,61296,0.604,,да,
evlampia_037,ЕР,Евлампия Романова,Матрешка в перьях,2014,ЕР_Матрешка в перьях.txt,txt ЕвлампияРоманова/37 Матрешка в перьях.txt,evlampia/ЕР_Матрешка в перьях.txt,38949,36996,4310,249513,71588,0.517,,да,
dasha_046,ДВ,Даша Васильева,Медовое путешествие втроем,2013,ДВ_Медовое путешествие втроем.txt,txt ДашаВасильева/45 Медовое путешествие втроем.txt,dasha/ДВ_Медовое путешествие втроем.txt,38530,36996,3891,247035,70008,0.528,,да,
viola_021,ВТ,Виола Тараканова,Муму с аквалангом,2008,ВТ_Муму с аквалангом.txt,txt ВиолаТараканова/21 Муму с аквалангом.txt,viola/ВТ_Муму с аквалангом.txt,39818,36996,4999,248788,78087,0.474,,да,
dasha_045,ДВ,Даша Васильева,Пальцы китайским веером,2012,ДВ_Пальцы китайским веером.txt,txt ДашаВасильева/44 Пальцы китайским веером.txt,dasha/ДВ_Пальцы китайским веером.txt,38720,36996,4175,247424,65710,0.563,,да,
evlampia_014,ЕР,Евлампия Романова,Синий мопс счастья,2004,ЕР_Синий мопс счастья.txt,txt ЕвлампияРоманова/14 Синий мопс счастья.txt,evlampia/ЕР_Синий мопс счастья.txt,39554,36996,4288,246977,79223,0.467,,да,
viola_031,ВТ,Виола Тараканова,Фанатка голого короля,2012,ВТ_Фанатка голого короля.txt,txt ВиолаТараканова/31 Фанатка голого короля.txt,viola/ВТ_Фанатка голого короля.txt,39169,36996,4267,248577,66633,0.555,,да,
evlampia_023,ЕР,Евлампия Романова,Фанера Милосская,2007,ЕР_Фанера Милосская.txt,txt ЕвлампияРоманова/23 Фанера Милосская.txt,evlampia/ЕР_Фанера Милосская.txt,40212,36996,4914,250449,74929,0.494,,да,
viola_019,ВТ,Виола Тараканова,Хеппи-энд для Дездемоны,2007,ВТ_Хеппи-энд для Дездемоны.txt,txt ВиолаТараканова/19 Хеппи-энд для Дездемоны.txt,viola/ВТ_Хеппи-энд для Дездемоны.txt,40497,36996,5273,249947,73663,0.502,,да,
kozlova_015,СК,Степанида Козлова,Хип-хоп маленьких лебедей,2020,СК_Хип-хоп маленьких лебедей.txt,txt СтепанидаКозлова/15 Хип-хоп маленьких лебедей.txt,kozlova/СК_Хип-хоп маленьких лебедей.txt,40210,36996,5102,248248,46378,0.798,,да,
evlampia_051,ЕР,Евлампия Романова,Хорошие манеры Соловья-разбойника,2021,ЕР_Хорошие манеры Соловья-разбойника.txt,txt ЕвлампияРоманова/51 Хорошие манеры Соловья-разбойника.txt,evlampia/ЕР_Хорошие манеры Соловья-разбойника.txt,39508,36996,4826,247172,46936,0.788,,да,
dasha_060,ДВ,Даша Васильева,Царевич с плохим резюме,2019,ДВ_Царевич с плохим резюме.txt,txt ДашаВасильева/59 Царевич с плохим резюме.txt,dasha/ДВ_Царевич с плохим резюме.txt,39754,36996,4654,248058,49463,0.748,,да,
viola_023,ВТ,Виола Тараканова,Человек-невидимка в стразах,2009,ВТ_Человек-невидимка в стразах.txt,txt ВиолаТараканова/23 Человек-невидимка в стразах.txt,viola/ВТ_Человек-невидимка в стразах.txt,39978,36996,4325,252029,75314,0.491,,да,
podushkin_005,ИП,Иван Подушкин,Али-Баба и сорок разбойниц,2003,ИП_Али-Баба и сорок разбойниц.txt,txt ИванПодушкин/05 Али-Баба и сорок разбойниц.txt,podushkin/ИП_Али-Баба и сорок разбойниц.txt,39128,36997,4075,246136,75231,0.492,,да,
kozlova_018,СК,Степанида Козлова,Аукцион волшебного хлама,2023,СК_Аукцион волшебного хлама.txt,txt СтепанидаКозлова/18 Аукцион волшебного хлама.txt,kozlova/СК_Аукцион волшебного хлама.txt,39766,36997,4935,248270,45508,0.813,,да,
sergeeva_033,ТС,Татьяна Сергеева,Бегемот под майонезом,2022,ТС_Бегемот под майонезом.txt,txt ТатьянаСергеева/32 Бегемот под майонезом.txt,sergeeva/ТС_Бегемот под майонезом.txt,39504,36997,4660,244923,39778,0.93,,да,
evlampia_018,ЕР,Евлампия Романова,Безумная кепка Мономаха,2006,ЕР_Безумная кепка Мономаха.txt,txt ЕвлампияРоманова/18 Безумная кепка Мономаха.txt,evlampia/ЕР_Безумная кепка Мономаха.txt,39176,36997,4065,248535,70464,0.525,,да,
viola_045,ВТ,Виола Тараканова,Блеск и нищета инстаграма,2020,ВТ_Блеск и нищета инстаграма.txt,txt ВиолаТараканова/45 Блеск и нищета инстаграма.txt,viola/ВТ_Блеск и нищета инстаграма.txt,39598,36997,4809,247789,52190,0.709,,да,
podushkin_024,ИП,Иван Подушкин,Блог проказника домового,2018,ИП_Блог проказника домового.txt,txt ИванПодушкин/24 Блог проказника домового.txt,podushkin/ИП_Блог проказника домового.txt,38803,36997,4652,246328,62912,0.588,,да,
sergeeva_013,ТС,Татьяна Сергеева,Версаль под хохлому,2012,ТС_Версаль под хохлому.txt,txt ТатьянаСергеева/12 Версаль под хохлому.txt,sergeeva/ТС_Версаль под хохлому.txt,39216,36997,4119,252094,74198,0.499,,да,
viola_009,ВТ,Виола Тараканова,Главбух и полцарства в придачу,2004,ВТ_Главбух и полцарства в придачу.txt,txt ВиолаТараканова/09 Главбух и полцарства в придачу.txt,viola/ВТ_Главбух и полцарства в придачу.txt,39089,36997,4256,246389,77816,0.475,,да,
dasha_057,ДВ,Даша Васильева,Дневник пакостей Снежинки,2018,ДВ_Дневник пакостей Снежинки.txt,txt ДашаВасильева/56 Дневник пакостей Снежинки.txt,dasha/ДВ_Дневник пакостей Снежинки.txt,40011,36997,5297,247199,55418,0.668,,да,
viola_018,ВТ,Виола Тараканова,Зимнее лето весны,2007,ВТ_Зимнее лето весны.txt,txt ВиолаТараканова/18 Зимнее лето весны.txt,viola/ВТ_Зимнее лето весны.txt,40294,36997,5310,252658,68319,0.542,,да,
evlampia_033,ЕР,Евлампия Романова,Костюм Адама для Евы,2012,ЕР_Костюм Адама для Евы.txt,txt ЕвлампияРоманова/33 Костюм Адама для Евы.txt,evlampia/ЕР_Костюм Адама для Евы.txt,38852,36997,3948,249392,66019,0.56,,да,
dasha_035,ДВ,Даша Васильева,Легенда о трех мартышках,2009,ДВ_Легенда о трех мартышках.txt,txt ДашаВасильева/34 Легенда о трех мартышках.txt,dasha/ДВ_Легенда о трех мартышках.txt,39793,36997,4041,250809,68419,0.541,,да,
evlampia_001,ЕР,Евлампия Романова,Маникюр для покойника,2000,ЕР_Маникюр для покойника.txt,txt ЕвлампияРоманова/01 Маникюр для покойника.txt,evlampia/ЕР_Маникюр для покойника.txt,39118,36997,3869,250905,78252,0.473,,да,
evlampia_062,ЕР,Евлампия Романова,Маникюр для покойника,2000,ЕР_Маникюр для покойника (2).txt,txt ЕвлампияРоманова/Донцова 01 Маникюр для покойника.txt,evlampia/ЕР_Маникюр для покойника (2).txt,39118,36997,3869,250905,78252,0.473,,да,
viola_007,ВТ,Виола Тараканова,Микстура от косоглазия,2003,ВТ_Микстура от косоглазия.txt,txt ВиолаТараканова/07 Микстура от косоглазия.txt,viola/ВТ_Микстура от косоглазия.txt,39814,36997,4451,248599,78044,0.474,,да,
evlampia_029,ЕР,Евлампия Романова,Ночная жизнь моей свекрови,2010,ЕР_Ночная жизнь моей свекрови.txt,txt ЕвлампияРоманова/29 Ночная жизнь моей свекрови.txt,evlampia/ЕР_Ночная жизнь моей свекрови.txt,39848,36997,4370,252197,78093,0.474,,да,
viola_006,ВТ,Виола Тараканова,Скелет из пробирки,2002,ВТ_Скелет из пробирки.txt,txt ВиолаТараканова/06 Скелет из пробирки .txt,viola/ВТ_Скелет из пробирки.txt,39356,36997,4431,250085,74127,0.499,,да,
dasha_070,ДВ,Даша Васильева,Слон для Дюймовочки,2023,ДВ_Слон для Дюймовочки.txt,txt ДашаВасильева/69 Слон для Дюймовочки.txt,dasha/ДВ_Слон для Дюймовочки.txt,39484,36997,4619,250909,40394,0.916,,да,
dasha_050,ДВ,Даша Васильева,Сон дядюшки Фрейда,2015,ДВ_Сон дядюшки Фрейда.txt,txt ДашаВасильева/49 Сон дядюшки Фрейда.txt,dasha/ДВ_Сон дядюшки Фрейда.txt,39250,36997,4304,248788,63431,0.583,,да,
viola_035,ВТ,Виола Тараканова,Ужас на крыльях ночи,2014,ВТ_Ужас на крыльях ночи.txt,txt ВиолаТараканова/35 Ужас на крыльях ночи.txt,viola/ВТ_Ужас на крыльях ночи.txt,39181,36997,4424,249741,65891,0.561,,да,
evlampia_024,ЕР,Евлампия Романова,Фэн-шуй без тормозов,2008,ЕР_Фэн-шуй без тормозов.txt,txt ЕвлампияРоманова/24 Фэн-шуй без тормозов.txt,evlampia/ЕР_Фэн-шуй без тормозов.txt,40299,36997,5292,252721,77006,0.48,,да,
sergeeva_032,ТС,Татьяна Сергеева,Чугунные сапоги-скороходы,2021,ТС_Чугунные сапоги-скороходы.txt,txt ТатьянаСергеева/31 Чугунные сапоги-скороходы.txt,sergeeva/ТС_Чугунные сапоги-скороходы.txt,39390,36997,4591,249357,46774,0.791,,да,
podushkin_031,ИП,Иван Подушкин,Чучело от первого брака,2021,ИП_Чучело от первого брака.txt,txt ИванПодушкин/31 Чучело от первого брака.txt,podushkin/ИП_Чучело от первого брака.txt,38816,36997,4202,247167,40913,0.904,,да,
dasha_051,ДВ,Даша Васильева,Штамп на сердце женщины-вамп,2016,ДВ_Штамп на сердце женщины-вамп.txt,txt ДашаВасильева/50 Штамп на сердце женщины-вамп.txt,dasha/ДВ_Штамп на сердце женщины-вамп.txt,39583,36997,4389,249875,67199,0.551,,да,
sergeeva_038,ТС,Татьяна Сергеева,Амур с гранатой,2024,ТС_Амур с гранатой.txt,txt ТатьянаСергеева/37. Амур с гранатой.txt,sergeeva/ТС_Амур с гранатой.txt,39056,36998,4749,248431,44335,0.835,,да,
podushkin_027,ИП,Иван Подушкин,Архитектор пряничного домика,2019,ИП_Архитектор пряничного домика.txt,txt ИванПодушкин/27 Архитектор пряничного домика.txt,podushkin/ИП_Архитектор пряничного домика.txt,39404,36998,4628,246581,49617,0.746,,да,
sergeeva_018,ТС,Татьяна Сергеева,Бабки царя Соломона,2014,ТС_Бабки царя Соломона.txt,txt ТатьянаСергеева/17 Бабки царя Соломона.txt,sergeeva/ТС_Бабки царя Соломона.txt,38565,36998,4002,247896,63191,0.585,,да,
viola_044,ВТ,Виола Тараканова,Бинокль для всевидящего ока,2019,ВТ_Бинокль для всевидящего ока.txt,txt ВиолаТараканова/44 Бинокль для всевидящего ока.txt,viola/ВТ_Бинокль для всевидящего ока.txt,39582,36998,4847,245859,54340,0.681,,да,
evlampia_048,ЕР,Евлампия Романова,Большой куш нищей герцогини,2020,ЕР_Большой куш нищей герцогини.txt,txt ЕвлампияРоманова/48 Большой куш нищей герцогини.txt,evlampia/ЕР_Большой куш нищей герцогини.txt,39533,36998,4774,248418,47295,0.782,,да,
evlampia_050,ЕР,Евлампия Романова,Вещие сны Храпунцель,2021,ЕР_Вещие сны Храпунцель.txt,txt ЕвлампияРоманова/50 Вещие сны Храпунцель.txt,evlampia/ЕР_Вещие сны Храпунцель.txt,39726,36998,4984,246463,53842,0.687,,да,
evlampia_047,ЕР,Евлампия Романова,Гиблое место в ипотеку,2019,ЕР_Гиблое место в ипотеку.txt,txt ЕвлампияРоманова/47 Гиблое место в ипотеку.txt,evlampia/ЕР_Гиблое место в ипотеку.txt,39641,36998,4898,247393,50254,0.736,,да,
podushkin_029,ИП,Иван Подушкин,"Глазастая, ушастая беда",2020,"ИП_Глазастая, ушастая беда.txt","txt ИванПодушкин/29 Глазастая, ушастая беда.txt","podushkin/ИП_Глазастая, ушастая беда.txt",39843,36998,4731,246265,48467,0.763,,да,
evlampia_056,ЕР,Евлампия Романова,Государыня Криворучка,2023,ЕР_Государыня Криворучка.txt,txt ЕвлампияРоманова/56 Государыня Криворучка.txt,evlampia/ЕР_Государыня Криворучка.txt,39455,36998,4609,251952,42622,0.868,,да,
dasha_053,ДВ,Даша Васильева,Другая жизнь оборотня,2016,ДВ_Другая жизнь оборотня.txt,txt ДашаВасильева/52 Другая жизнь оборотня.txt,dasha/ДВ_Другая жизнь оборотня.txt,39509,36998,4512,248026,65105,0.568,,да,
