id,series_code,серия,название,год,имя_файла,путь_исходник,путь_clean,слова_clean,токены_clean,строки_clean,символы_clean,токены_исходник,доля_токенов_сохранено,короткий_текст,для_сравнения,повреждена_очисткой
dasha_026,ДВ,Даша Васильева,Компот из запретного плода,2005,ДВ_Компот из запретного плода.txt,txt ДашаВасильева/25 Компот из запретного плода.txt,dasha/ДВ_Компот из запретного плода.txt,39632,36980,4011,249762,82253,0.45,,да,
dasha_017,ДВ,Даша Васильева,Бенефис мартовской кошки,2002,ДВ_Бенефис мартовской кошки.txt,txt ДашаВасильева/16 Бенефис мартовской кошки.txt,dasha/ДВ_Бенефис мартовской кошки.txt,38929,36981,3817,248550,77257,0.479,,да,
viola_047,ВТ,Виола Тараканова,Козлёнок Алёнушка,2021,ВТ_Козлёнок Алёнушка.txt,txt ВиолаТараканова/47 Козлёнок Алёнушка.txt,viola/ВТ_Козлёнок Алёнушка.txt,39479,36981,4832,249929,50969,0.726,,да,
podushkin_033,ИП,Иван Подушкин,Корона Мышки-норушки,2022,ИП_Корона Мышки-норушки.txt,txt ИванПодушкин/33 Корона Мышки-норушки.txt,podushkin/ИП_Корона Мышки-норушки.txt,39242,36981,4473,248931,45700,0.809,,да,
podushkin_006,ИП,Иван Подушкин,Надувная женщина для Казановы,2004,ИП_Надувная женщина для Казановы.txt,txt ИванПодушкин/06 Надувная женщина для Казановы.txt,podushkin/ИП_Надувная женщина для Казановы.txt,39346,36981,4327,247262,74645,0.495,,да,
kozlova_019,СК,Степанида Козлова,Обида Крошечки-Хаврошечки,2024,СК_Обида Крошечки-Хаврошечки.txt,txt СтепанидаКозлова/19 Обида Крошечки-Хаврошечки.txt,kozlova/СК_Обида Крошечки-Хаврошечки.txt,39317,36981,4956,250025,40684,0.909,,да,
evlampia_042,ЕР,Евлампия Романова,Гороскоп птицы Феникс,2017,ЕР_Гороскоп птицы Феникс.txt,txt ЕвлампияРоманова/42 Гороскоп птицы Феникс.txt,evlampia/ЕР_Гороскоп птицы Феникс.txt,39378,36982,4558,248758,69205,0.534,,да,
evlampia_057,ЕР,Евлампия Романова,Витязь в розовых штанах,2023,ЕР_Витязь в розовых штанах.txt,txt ЕвлампияРоманова/57  Витязь в розовых штанах.txt,evlampia/ЕР_Витязь в розовых штанах.txt,39056,36983,4782,249562,37797,0.978,,да,
sergeeva_025,ТС,Татьяна Сергеева,Запасной выход из комы,2018,ТС_Запасной выход из комы.txt,txt ТатьянаСергеева/24 Запасной выход из комы.txt,sergeeva/ТС_Запасной выход из комы.txt,39715,36983,5014,249211,53874,0.686,,да,
sergeeva_008,ТС,Татьяна Сергеева,Золотое правило Трехпудовочки,2010,ТС_Золотое правило Трехпудовочки.txt,txt ТатьянаСергеева/07 Золотое правило Трехпудовочки.txt,sergeeva/ТС_Золотое правило Трехпудовочки.txt,39542,36983,4243,251569,65974,0.561,,да,
dasha_040,ДВ,Даша Васильева,Лебединое озеро Ихтиандра,2010,ДВ_Лебединое озеро Ихтиандра.txt,txt ДашаВасильева/39 Лебединое озеро Ихтиандра.txt,dasha/ДВ_Лебединое озеро Ихтиандра.txt,40047,36984,4657,254043,72292,0.512,,да,
kozlova_009,СК,Степанида Козлова,Лунатик исчезает в полночь,2014,СК_Лунатик исчезает в полночь.txt,txt СтепанидаКозлова/09 Лунатик исчезает в полночь.txt,kozlova/СК_Лунатик исчезает в полночь.txt,39075,36984,4408,249088,69281,0.534,,да,
sergeeva_037,ТС,Татьяна Сергеева,Кукушонок из семьи дровосеков,2024,ТС_Кукушонок из семьи дровосеков.txt,txt ТатьянаСергеева/36. Кукушонок из семьи дровосеков.txt,sergeeva/ТС_Кукушонок из семьи дровосеков.txt,39338,36985,4944,248892,41863,0.883,,да,
evlampia_009,ЕР,Евлампия Романова,Хождение под мухой,2002,ЕР_Хождение под мухой.txt,txt ЕвлампияРоманова/09 Хождение под мухой.txt,evlampia/ЕР_Хождение под мухой.txt,39548,36985,4302,250313,70327,0.526,,да,
evlampia_026,ЕР,Евлампия Романова,Брачный контракт кентавра,2009,ЕР_Брачный контракт кентавра.txt,txt ЕвлампияРоманова/26 Брачный контракт кентавра.txt,evlampia/ЕР_Брачный контракт кентавра.txt,39493,36986,4207,248734,73288,0.505,,да,
kozlova_005,СК,Степанида Козлова,Дворец со съехавшей крышей,2012,СК_Дворец со съехавшей крышей.txt,txt СтепанидаКозлова/05 Дворец со съехавшей крышей.txt,kozlova/СК_Дворец со съехавшей крышей.txt,39276,36986,4449,249883,67949,0.544,,да,
evlampia_022,ЕР,Евлампия Романова,Нежный супруг олигарха,2007,ЕР_Нежный супруг олигарха.txt,txt ЕвлампияРоманова/22 Нежный супруг олигарха.txt,evlampia/ЕР_Нежный супруг олигарха.txt,39950,36986,4809,250194,69918,0.529,,да,
evlampia_002,ЕР,Евлампия Романова,Покер с акулой,2000,ЕР_Покер с акулой.txt,txt ЕвлампияРоманова/02 Покер с акулой.txt,evlampia/ЕР_Покер с акулой.txt,39223,36986,3720,253471,70927,0.521,,да,
podushkin_020,ИП,Иван Подушкин,Авоська с Алмазным фондом,2015,ИП_Авоська с Алмазным фондом.txt,txt ИванПодушкин/20 Авоська с Алмазным фондом.txt,podushkin/ИП_Авоська с Алмазным фондом.txt,38650,36987,3988,246280,67037,0.552,,да,
podushkin_026,ИП,Иван Подушкин,Венец безбрачия белого кролика,2019,ИП_Венец безбрачия белого кролика.txt,txt ИванПодушкин/26 Венец безбрачия белого кролика.txt,podushkin/ИП_Венец безбрачия белого кролика.txt,39373,36987,5186,246745,61204,0.604,,да,
viola_016,ВТ,Виола Тараканова,Монстры из хорошей семьи,2007,ВТ_Монстры из хорошей семьи.txt,txt ВиолаТараканова/16 Монстры из хорошей семьи.txt,viola/ВТ_Монстры из хорошей семьи.txt,39876,36987,4577,252074,74870,0.494,,да,
dasha_008,ДВ,Даша Васильева,Несекретные материалы,2000,ДВ_Несекретные материалы.txt,txt ДашаВасильева/07 Несекретные материалы.txt,dasha/ДВ_Несекретные материалы.txt,38813,36987,3881,254396,78607,0.471,,да,
