"dontsova__01_Букет_прекрасных_дам" "dontsova__03-Дама-с-коготками" "dontsova__03_Инь,_янь_и_всякая_дрянь" "dontsova__04_Клеопатра_с_парашютом" "dontsova__06_Созвездие_жадных_псов" "dontsova__07_Микстура_от_косоглазия" "dontsova__09-Бассейн-с-крокодилами" "dontsova__10_Спят_усталые_игрушки" "dontsova__13_Муха_в_самолете" "dontsova__18_Безумная_кепка_Мономаха" "dontsova__18_Зимнее_лето_весны" "dontsova__22_Астральное_тело_холостяка" "dontsova__27_Император_деревни_Гадюкино" "dontsova__27_Страстная_ночь_в_зоопарке" "dontsova__32_Бегемот_под_майонезом" "dontsova__39_Шуры-муры_с_призраком" "dontsova__40_Тормоза_для_блудного_мужа" "dontsova__44_Бинокль_для_всевидящего_ока" "dontsova__47-Самовар-с-шампанским" "dontsova__47_Гиблое_место_в_ипотеку" "marinina__03_Оборванные_нити" "marinina__05_Все_не_так" "marinina__05_Смерть_ради_смерти" "marinina__21_Седьмая_жертва" "marinina__35_Отдаленные_последствия._Том_1" "polyakova__Татьяна_Полякова_-_01._Испанская_легенда_(2008)" "polyakova__Татьяна_Полякова_-_01._Капкан_на_спонсора_(1999)" "polyakova__Татьяна_Полякова_-_04._Неопознанный_ходячий_объект_(2001)" "polyakova__Татьяна_Полякова_-_05._Четыре_всадника_раздора_(2020)" "polyakova__Татьяна_Полякова_-_05._Я_смотрю_на_тебя_издали_(2012)" "traub__Маша_Трауб_-_Замочная_скважина_-_2012" "traub__Маша_Трауб_-_Плохая_мать_-_2010" "traub__Маша_Трауб_-_Посмотри_на_меня_-_2021" "traub__Маша_Трауб_-_Продаётся_дом_с_дедушкой_-_2016" "traub__Маша_Трауб_-_Собирайся,_мы_уезжаем_-_2006" "ustinova__Близкие_люди" "ustinova__Девчонки,_я_приехал!" "ustinova__Жизнь,_по_слухам,_одна!" "ustinova__Один_день,_одна_ночь" "ustinova__Персональный_ангел"
"как" 0.670611439842209 0.703541026936681 0.530938123752495 0.487881035088404 0.596042279265676 0.491017964071856 0.702823005739721 0.534801108638795 0.50265178500752 0.438441965159522 0.440475228319728 0.564263322884012 0.490331764798924 0.487344757113661 0.510123378677634 0.516826448889415 0.498293247537961 0.543996188055909 0.471566159133597 0.468402667513496 0.678741658722593 0.877524774945155 0.626561599077455 0.699912510936133 0.741896210622432 0.590281849810406 0.596390062798689 0.745889795758972 0.599201065246338 0.55436267811829 0.801689413789058 0.780972665956692 0.99712368168744 0.825139772508194 0.502180006228589 1.05944446584736 0.949960906958561 0.969360602143998 1.00392337872144 0.851390220517737
"то" 0.445759368836292 0.551949313950325 0.506986027944112 0.429335310877796 0.468886593022332 0.534930139720559 0.62082698840342 0.624585236366475 0.474946568511042 0.446271285965942 0.387941485492605 0.54858934169279 0.316343074063822 0.381229366451816 0.565485605820943 0.445812127667969 0.274649821477616 0.520171537484117 0.311713223834073 0.603366147983487 0.926596758817922 1.08177623118239 0.795694791466462 0.882498383354255 1.00821792725613 0.727102146124076 0.821517437497531 0.757605342289218 0.740189551186653 0.804216279523717 0.574869969887764 0.441762316096714 0.636625119846596 0.906111432427222 0.467144191840548 1.05559194051701 0.746677091477717 0.904736562001064 0.969305331179321 0.855225311601151
"но" 0.749506903353057 0.44311423796012 0.694610778443114 0.647906014597401 0.615910355241198 0.658682634730539 0.679395572215064 0.616777920911894 0.700546188553788 0.688980230964964 0.654651256768771 0.693573667711599 0.632686148127644 0.844992925640623 0.628756722556153 0.698307492010889 0.749401655746067 0.639294790343075 0.687367621787955 0.64703080342966 0.53765490943756 0.665708449958393 0.618873726696137 0.707520255620221 0.753309998478162 0.84046753449826 0.521347604565741 0.679501698754247 0.806767447325135 0.788600429435877 0.598334050291346 0.378653413797184 0.690316395014382 0.670908039329092 0.400965431329804 0.358284855722926 0.328381548084441 0.368737170227325 0.453881067774444 0.475551294343241
"она" 0.666666666666667 0.462549072958371 0.530938123752495 0.48007493852699 0.480807438607645 0.734530938123752 0.35922064737808 0.566030370457118 0.387873030950685 0.391466040321002 0.331366685524933 0.446708463949843 0.347977381470204 0.357648168526961 0.415216703574818 0.501045488617982 0.596382469494252 0.575762388818297 0.599448507373217 0.635122261035249 0.526215443279314 0.817005824948937 0.811070536229099 0.749362851382708 0.582103180642216 0.379187678355029 0.387061100359414 0.421759675088843 0.704942429701574 0.37087643958618 1.34136326307145 1.10046148384807 0.805369127516778 0.616926932716406 1.32746807848022 0.670339407481604 0.570758405003909 0.71466585569832 0.919301484729595 0.724832214765101
"все" 0.414201183431953 0.489757841955922 0.271457085828343 0.347371296982944 0.393387904315346 0.387225548902196 0.507594393034243 0.433306007729242 0.39183091902161 0.395380700724212 0.319243514103289 0.36833855799373 0.257028747676856 0.302625373368967 0.48639670990193 0.37874304651438 0.306038372503629 0.464580686149936 0.355672781041442 0.460463639250556 0.575786463298379 0.9040018155685 0.549682875264271 0.547757617254365 0.654390503728504 0.547281185254681 0.497649986176389 0.343656031553872 0.524790475444505 0.534842865508491 0.71956513237652 0.59559026545182 0.648130393096836 0.663196452670137 0.529430084085954 0.658781831490542 0.242376856919468 0.961757773891888 0.784675744288022 0.920421860019175
"к" 0.568047337278107 0.598592917946127 0.447105788423154 0.503493228211233 0.48478105380275 0.518962075848303 0.546640115575339 0.530897450911504 0.573893770284176 0.512820512820513 0.557665885395619 0.591692789968652 0.446834592115149 0.491274956767804 0.54966782663714 0.493155008482266 0.474751834268451 0.349428208386277 0.499540422811014 0.535884407748492 0.46139180171592 0.419850215598759 0.492023832404382 0.460268553387348 0.479379089940648 0.562917790547672 0.655634108772068 0.683406880930995 0.626615493068066 0.651961741167285 0.5709592898205 0.587701652664379 0.348993288590604 0.478118372855215 0.369822485207101 0.335169703740802 0.398749022673964 0.387744240857599 0.484652665589661 0.479386385426654
"за" 0.414201183431953 0.377035798966067 0.491017964071856 0.429335310877796 0.468886593022332 0.42315369261477 0.527117254304791 0.429402350001952 0.45119924008549 0.407124681933842 0.45663945688192 0.380094043887147 0.450788880540947 0.467693758842949 0.375672255615312 0.536552649228706 0.427669007729431 0.468551461245235 0.447588218838668 0.420768497935853 0.377502383222116 0.397155609350178 0.468960215260427 0.464072425729393 0.498402069700198 0.390915132324772 0.501599589241281 0.581872144335533 0.516957781781155 0.472379465157134 0.500567048609753 0.469372460852759 0.345158197507191 0.412569886254097 0.4827156649019 0.589436375544169 0.590304925723221 0.475176765756862 0.411570120778521 0.521572387344199
"по" 0.42603550295858 0.361487930967466 0.451097804391218 0.382498731509309 0.429150441071287 0.351297405189621 0.480262387255476 0.468438927274857 0.463072904298266 0.458015267175573 0.424310999757537 0.407523510971787 0.454743168966744 0.510925955038516 0.355900031635558 0.374797806446522 0.423745438851179 0.504288437102922 0.351676457658954 0.416798983804382 0.38512869399428 0.404720478099705 0.526619258120315 0.429837574650995 0.582103180642216 0.508189672022204 0.489750780046605 0.550630686921545 0.57178663742461 0.609018153425727 0.426264127331743 0.485149686427642 0.460210930009588 0.327742433005591 0.564465898473996 0.489270716954964 0.55512118842846 0.395347069109709 0.469266866682052 0.556088207094918
"это" 0.394477317554241 0.279861623974812 0.279441117764471 0.273213379649506 0.301994754827942 0.275449101796407 0.277224630041779 0.265448725455752 0.308715269532178 0.203562340966921 0.319243514103289 0.360501567398119 0.276800189805844 0.322276371639679 0.423125593166719 0.437921647532252 0.278573390355868 0.405019059720457 0.391639691483835 0.392981899015561 0.617731172545281 0.616536803086466 0.611185854314818 0.772186085434973 0.532643433267387 0.78964856729604 0.655634108772068 0.554535869098293 0.661862614553145 0.632441928557486 0.441906847600798 0.571924427089496 0.456375838926175 0.489685752843648 0.455465587044534 0.527795970258504 0.437842064112588 0.459971109252642 0.500038464497269 0.62895493767977
"из" 0.485207100591716 0.44700120495977 0.558882235528942 0.593263338667499 0.572200588095049 0.491017964071856 0.382648080902737 0.480149900456728 0.522441225362147 0.399295361127422 0.541501656833428 0.391849529780564 0.521966072205307 0.609180946392077 0.54966782663714 0.493155008482266 0.478675403146702 0.408989834815756 0.479558805898573 0.38107335662115 0.381315538608198 0.37824343747636 0.488179896213723 0.357564000152155 0.39187338304672 0.30882295453657 0.351514672775386 0.394423399851603 0.419049110989269 0.37478040210814 0.473192288138907 0.366820494616022 0.283796740172579 0.316175053017158 0.400965431329804 0.512385868937088 0.500390930414386 0.444765452748422 0.411570120778521 0.433365292425695
