"dontsova__01_Букет_прекрасных_дам" "dontsova__03-Дама-с-коготками" "dontsova__03_Инь,_янь_и_всякая_дрянь" "dontsova__04_Клеопатра_с_парашютом" "dontsova__06_Созвездие_жадных_псов" "dontsova__07_Микстура_от_косоглазия" "dontsova__09-Бассейн-с-крокодилами" "dontsova__10_Спят_усталые_игрушки" "dontsova__13_Муха_в_самолете" "dontsova__18_Безумная_кепка_Мономаха" "dontsova__18_Зимнее_лето_весны" "dontsova__22_Астральное_тело_холостяка" "dontsova__27_Император_деревни_Гадюкино" "dontsova__27_Страстная_ночь_в_зоопарке" "dontsova__32_Бегемот_под_майонезом" "dontsova__39_Шуры-муры_с_призраком" "dontsova__40_Тормоза_для_блудного_мужа" "dontsova__44_Бинокль_для_всевидящего_ока" "dontsova__47-Самовар-с-шампанским" "dontsova__47_Гиблое_место_в_ипотеку" "marinina__03_Оборванные_нити" "marinina__05_Все_не_так" "marinina__05_Смерть_ради_смерти" "marinina__21_Седьмая_жертва" "marinina__35_Отдаленные_последствия._Том_1" "polyakova__Татьяна_Полякова_-_01._Испанская_легенда_(2008)" "polyakova__Татьяна_Полякова_-_01._Капкан_на_спонсора_(1999)" "polyakova__Татьяна_Полякова_-_04._Неопознанный_ходячий_объект_(2001)" "polyakova__Татьяна_Полякова_-_05._Четыре_всадника_раздора_(2020)" "polyakova__Татьяна_Полякова_-_05._Я_смотрю_на_тебя_издали_(2012)" "traub__Маша_Трауб_-_Замочная_скважина_-_2012" "traub__Маша_Трауб_-_Плохая_мать_-_2010" "traub__Маша_Трауб_-_Посмотри_на_меня_-_2021" "traub__Маша_Трауб_-_Продаётся_дом_с_дедушкой_-_2016" "traub__Маша_Трауб_-_Собирайся,_мы_уезжаем_-_2006" "ustinova__Близкие_люди" "ustinova__Девчонки,_я_приехал!" "ustinova__Жизнь,_по_слухам,_одна!" "ustinova__Один_день,_одна_ночь" "ustinova__Персональный_ангел"
"говоря" 0.0473372781065089 0.023321801997901 0.0159680638722555 0.0156121931228289 0.0754986887069856 0.0279441117764471 0.0351411502869861 0.0351329195456142 0.0197894403546268 0.0117439812096301 0.0202052857027398 0.00783699059561128 0.0118628652773933 0.0196509982707122 0.0079088895919013 0.00789048013571626 0 0.0039707750952986 0.00799264676497622 0.0158780565258812 0.0152526215443279 0.0264770406233452 0.00384393619065923 0.0114116170261326 0.0152183838076396 0 0.00394960306489198 0.0312414574139884 0.00391634683167541 0.00390396252195979 0.0039106800672637 0 0.0153403643336529 0.0154231733179102 0 0.0115575759910621 0 0.00380141412605489 0.0115393491807062 0.0115052732502397
"друга" 0.00394477317554241 0.0272087689975512 0.00399201596806387 0.00780609656141446 0.00794723039020901 0.00399201596806387 0.0117137167623287 0.0156146309091619 0.00395788807092535 0.00391466040321002 0.00404105714054797 0.00783699059561128 0.0118628652773933 0 0.0158177791838026 0.0157809602714325 0 0.019853875476493 0.0159852935299524 0.00793902826294062 0.0228789323164919 0.0037824343747636 0.0115318085719777 0 0.0114137878557297 0.0351823619092295 0.0118488091946759 0.0156207287069942 0.0587452024751312 0.0117118875658794 0.0273747604708459 0.035498757543486 0.0153403643336529 0.0154231733179102 0.0038928682653379 0.00770505066070809 0.00781860828772478 0.0380141412605489 0.0461573967228248 0.0268456375838926
"машине" 0.0236686390532544 0.0155478679986007 0.0119760479041916 0.00390304828070723 0.0119208455853135 0.00798403193612774 0.00780914450821912 0.0156146309091619 0.0277052164964775 0.0234879624192601 0.0323284571243837 0.0117554858934169 0 0.0157207986165697 0.0158177791838026 0.0197262003392906 0.0196178443912583 0.0119123252858958 0.00399632338248811 0.00793902826294062 0.0114394661582459 0.0037824343747636 0.0115318085719777 0.0076077446840884 0.00760919190381981 0.0156366052929909 0.0197480153244599 0.0234310930604913 0.0274144278217279 0.0624634003513566 0 0.00788861278744133 0 0 0.038928682653379 0.0269676773124783 0.00390930414386239 0.00760282825210979 0.0115393491807062 0.0230105465004794
"моему" 0.0394477317554241 0.0349827029968516 0.00798403193612774 0.0156121931228289 0.00794723039020901 0.00798403193612774 0.0273320057787669 0.0117109731818714 0.00791577614185071 0.0156586416128401 0.00808211428109593 0.0235109717868339 0.0158171537031911 0.0117905989624273 0.0118633343878519 0.00394524006785813 0.00784713775650332 0.0039707750952986 0.00399632338248811 0.0119085423944109 0.00762631077216397 0.018912171873818 0.0115318085719777 0.0038038723420442 0.0114137878557297 0.0586372698487158 0.0355464275840278 0.0390518217674855 0.0274144278217279 0.0234237751317587 0 0.0197215319686033 0.00767018216682646 0 0 0.0154101013214162 0.00781860828772478 0 0.0153857989076083 0.0153403643336529
"москву" 0.00394477317554241 0.0155478679986007 0.00399201596806387 0.0156121931228289 0.00794723039020901 0.00798403193612774 0.0117137167623287 0.0117109731818714 0.0158315522837014 0.0234879624192601 0.00808211428109593 0.0509404388714734 0.0197714421289889 0 0.0158177791838026 0.00394524006785813 0.00392356887825166 0.0119123252858958 0.035966910442393 0.0158780565258812 0.0266920877025739 0 0.0230636171439554 0.0152154893681768 0 0 0.0592440459733797 0 0.0117490404950262 0 0.0195534003363185 0.0157772255748827 0 0.00771158665895508 0.0350358143880411 0.0154101013214162 0.0234558248631744 0.0152056565042196 0.0230786983614124 0.0230105465004794
"окна" 0.00788954635108481 0.023321801997901 0.0159680638722555 0.0117091448421217 0.0119208455853135 0.0239520958083832 0.0117137167623287 0.0507475504547761 0.0277052164964775 0.00782932080642004 0.00808211428109593 0.00783699059561128 0.0118628652773933 0.0117905989624273 0.0434988927554571 0.00394524006785813 0.011770706634755 0.0119123252858958 0.0239779402949287 0.0158780565258812 0 0.0037824343747636 0.00384393619065923 0.0114116170261326 0.0114137878557297 0.0156366052929909 0.0276472214542438 0.00781036435349709 0.0313307746534033 0.00780792504391958 0.00782136013452739 0.00394430639372066 0.0345158197507191 0.00385579332947754 0.0155714730613516 0.0192626266517702 0.0234558248631744 0.0190070706302745 0.00769289945380414 0
"предложила" 0.00788954635108481 0.0155478679986007 0.0239520958083832 0.0195152414035362 0.015894460780418 0.0199600798403194 0.0117137167623287 0.0195182886364524 0.0356209926383282 0.00782932080642004 0.0242463428432878 0 0.00790857685159555 0.00786039930828486 0 0.0157809602714325 0.0274649821477616 0.0436785260482846 0.0239779402949287 0.0277865989202922 0 0.0037824343747636 0.00768787238131847 0.0038038723420442 0.00760919190381981 0.0156366052929909 0.0197480153244599 0.0156207287069942 0.0117490404950262 0.0195198126097989 0.039106800672637 0.011832919181162 0.0115052732502397 0 0.038928682653379 0 0.00781860828772478 0.00760282825210979 0.0153857989076083 0.00767018216682646
"прекрасно" 0.019723865877712 0.0155478679986007 0.00399201596806387 0.00780609656141446 0.00794723039020901 0 0.00390457225410956 0.00390365772729047 0.00395788807092535 0 0.00404105714054797 0.0156739811912226 0.0118628652773933 0.00393019965414243 0.0316355583676052 0.0236714404071488 0 0.0635324015247776 0.0319705870599049 0.0436646554461734 0.0228789323164919 0.0075648687495272 0.0269075533346146 0.0114116170261326 0.0152183838076396 0.0312732105859818 0.0118488091946759 0.00390518217674855 0.0234980809900525 0.00780792504391958 0.0117320402017911 0.00394430639372066 0.0306807286673058 0.0269905533063428 0 0.0154101013214162 0.019546520719312 0.00760282825210979 0.0115393491807062 0.0115052732502397
"купить" 0.0157790927021696 0.0116609009989505 0.0159680638722555 0.0390304828070723 0.0198680759755225 0.0119760479041916 0.00390457225410956 0.0117109731818714 0.0118736642127761 0.0274026228224701 0.0202052857027398 0.0117554858934169 0.00790857685159555 0.055022795157994 0.0395444479595065 0.0276166804750069 0.011770706634755 0.019853875476493 0.0199816169124406 0.00396951413147031 0.00381315538608198 0.0151297374990544 0.0153757447626369 0.0152154893681768 0.0190229797595495 0 0.00394960306489198 0 0.00391634683167541 0.00780792504391958 0.0273747604708459 0.00788861278744133 0.0115052732502397 0.0231347599768652 0.0077857365306758 0.0115575759910621 0.00781860828772478 0.00380141412605489 0.00769289945380414 0.0153403643336529
"могли" 0.00394477317554241 0.0155478679986007 0 0.00780609656141446 0.00397361519510451 0 0.00390457225410956 0.0117109731818714 0.0118736642127761 0.0156586416128401 0 0.0274294670846395 0 0.00393019965414243 0.0158177791838026 0.0197262003392906 0.00392356887825166 0.0238246505717916 0.00399632338248811 0.0198475706573515 0.0305052430886559 0.0037824343747636 0.0153757447626369 0.0152154893681768 0.0114137878557297 0.0312732105859818 0.0513448398435957 0.00390518217674855 0.0117490404950262 0.0468475502635175 0.00782136013452739 0.0276101447560447 0.0115052732502397 0.0231347599768652 0.0038928682653379 0.0308202026428324 0.0156372165754496 0.0266098988823842 0.00769289945380414 0.0230105465004794
"нравится" 0.0236686390532544 0.00777393399930035 0.00798403193612774 0.0234182896842434 0.015894460780418 0.00798403193612774 0.00780914450821912 0.00780731545458094 0.0237473284255521 0.00391466040321002 0.0161642285621919 0.0156739811912226 0.00395428842579778 0.00393019965414243 0.0434988927554571 0.0118357202035744 0 0.00794155019059721 0.0159852935299524 0.0357256271832328 0.0305052430886559 0.0226946062485816 0.00384393619065923 0.0076077446840884 0.0190229797595495 0.0195457566162386 0.0157984122595679 0.00781036435349709 0.0156653873267017 0.00780792504391958 0.0195534003363185 0.0394430639372066 0.0345158197507191 0.0231347599768652 0.0077857365306758 0.00770505066070809 0.0117279124315872 0.00380141412605489 0 0.0115052732502397
"сорок" 0.0157790927021696 0.0155478679986007 0.0279441117764471 0.00780609656141446 0.00397361519510451 0.0199600798403194 0.00780914450821912 0.00390365772729047 0.00395788807092535 0.0234879624192601 0.0202052857027398 0.0156739811912226 0.00790857685159555 0.0117905989624273 0.0118633343878519 0.0236714404071488 0.0156942755130066 0.0238246505717916 0.0199816169124406 0.0158780565258812 0.0419447092469018 0.0416067781223996 0.0230636171439554 0.0304309787363536 0.00380459595190991 0.00390915132324772 0.00394960306489198 0 0.0156653873267017 0.00780792504391958 0 0.00788861278744133 0.0230105465004794 0.00771158665895508 0.0155714730613516 0.0154101013214162 0.0390930414386239 0.00380141412605489 0.00384644972690207 0.00767018216682646
"внимания" 0.0236686390532544 0.0155478679986007 0.0159680638722555 0.0351274345263651 0.0119208455853135 0 0.0195228612705478 0.0117109731818714 0 0.0117439812096301 0.00404105714054797 0.0235109717868339 0.0118628652773933 0.0117905989624273 0.0079088895919013 0.0157809602714325 0.011770706634755 0.0119123252858958 0 0 0.0228789323164919 0.0302594749981088 0.0192196809532962 0.0152154893681768 0.00380459595190991 0.0312732105859818 0.0118488091946759 0.0351466395907369 0.0195817341583771 0.0195198126097989 0.00782136013452739 0.00394430639372066 0.00767018216682646 0.0115673799884326 0.0077857365306758 0.0115575759910621 0.00781860828772478 0.0228084847563294 0.0423109469959228 0.0115052732502397
"имеет" 0 0.00777393399930035 0.031936127744511 0.0195152414035362 0.0198680759755225 0.0119760479041916 0.0117137167623287 0.0117109731818714 0.0158315522837014 0.0234879624192601 0.00808211428109593 0.00783699059561128 0.0197714421289889 0.0235811979248546 0.0237266687757039 0.0197262003392906 0.011770706634755 0.0158831003811944 0.0239779402949287 0.0357256271832328 0.0152526215443279 0.018912171873818 0.0192196809532962 0.0152154893681768 0.0380459595190991 0.0234549079394863 0.0118488091946759 0.00390518217674855 0.00391634683167541 0.0195198126097989 0.0039106800672637 0.00394430639372066 0.00383509108341323 0 0.0116786047960137 0.0115575759910621 0.00390930414386239 0.00760282825210979 0.0115393491807062 0.0191754554170662
"нечего" 0.019723865877712 0.023321801997901 0.0119760479041916 0 0.031788921560836 0.00399201596806387 0.0195228612705478 0.0234219463637428 0.0395788807092535 0.0313172832256802 0.0202052857027398 0.0117554858934169 0 0.00393019965414243 0.00395444479595065 0.0118357202035744 0.00784713775650332 0.00794155019059721 0 0.00396951413147031 0.0114394661582459 0.0226946062485816 0.0153757447626369 0.019019361710221 0.0228275757114594 0.0117274539697432 0.0118488091946759 0.0234310930604913 0.0234980809900525 0.0156158500878392 0.0039106800672637 0.00394430639372066 0.0191754554170662 0.00771158665895508 0.0155714730613516 0.0269676773124783 0.00781860828772478 0.00760282825210979 0.0269251480883145 0.0153403643336529
"особенно" 0.00394477317554241 0.00388696699965017 0.00399201596806387 0.00390304828070723 0.00397361519510451 0 0 0 0.00791577614185071 0 0 0 0.0118628652773933 0.0157207986165697 0 0.00394524006785813 0.011770706634755 0.0119123252858958 0 0.00793902826294062 0.0114394661582459 0.018912171873818 0.0384393619065923 0.0228232340522652 0.0114137878557297 0.0117274539697432 0.0236976183893519 0.0273362752372398 0.0195817341583771 0.0468475502635175 0.0469281608071644 0.00788861278744133 0.00383509108341323 0.0231347599768652 0.0077857365306758 0.0385252533035405 0.00781860828772478 0.0380141412605489 0.0461573967228248 0.0421860019175455
"проблемы" 0.00788954635108481 0.0155478679986007 0.0119760479041916 0.0117091448421217 0.00397361519510451 0.0159680638722555 0.0156182890164382 0.00390365772729047 0.0197894403546268 0.0117439812096301 0.0161642285621919 0.0156739811912226 0.0158171537031911 0.0157207986165697 0.0276811135716545 0.0276166804750069 0.00392356887825166 0.0039707750952986 0.0159852935299524 0.0158780565258812 0.0114394661582459 0.0264770406233452 0.0153757447626369 0.0076077446840884 0.0228275757114594 0.0156366052929909 0.0118488091946759 0.00390518217674855 0.0156653873267017 0.0468475502635175 0.00782136013452739 0.00394430639372066 0.00767018216682646 0.00385579332947754 0.0311429461227032 0.0423777786338945 0.00390930414386239 0.0266098988823842 0.00384644972690207 0.00383509108341323
"стола" 0 0.0155478679986007 0.031936127744511 0.0117091448421217 0.015894460780418 0.00798403193612774 0.0195228612705478 0.0312292618183238 0.0118736642127761 0.0117439812096301 0.0161642285621919 0.0235109717868339 0.00395428842579778 0.00393019965414243 0.0197722239797532 0.00789048013571626 0.00392356887825166 0.00794155019059721 0 0.00793902826294062 0.0152526215443279 0.0113473031242908 0.0192196809532962 0.0266271063943094 0.0266321716633693 0 0.00394960306489198 0.00390518217674855 0.0117490404950262 0.0117118875658794 0.00782136013452739 0.00788861278744133 0.0191754554170662 0.0192789666473877 0.0116786047960137 0.0346727279731864 0.0273651290070367 0.0152056565042196 0.0230786983614124 0.0383509108341323
"тело" 0.0236686390532544 0.0272087689975512 0.0199600798403194 0.00390304828070723 0.00397361519510451 0.0279441117764471 0.0234274335246574 0.0351329195456142 0.0197894403546268 0.0313172832256802 0.0161642285621919 0.0235109717868339 0.0237257305547867 0.00393019965414243 0.0197722239797532 0.0433976407464394 0.0196178443912583 0.0119123252858958 0.00799264676497622 0.00793902826294062 0.0686367969494757 0.0037824343747636 0.00768787238131847 0.0266271063943094 0.00760919190381981 0.00390915132324772 0 0 0.00391634683167541 0 0.0039106800672637 0.00394430639372066 0.0268456375838926 0.00385579332947754 0 0.0192626266517702 0 0 0.00384644972690207 0.0115052732502397
"весьма" 0.0236686390532544 0.0155478679986007 0.031936127744511 0.0273213379649506 0.0357625367559406 0.00798403193612774 0.0156182890164382 0.0117109731818714 0.0277052164964775 0.0156586416128401 0 0.0195924764890282 0.0158171537031911 0.00393019965414243 0.0079088895919013 0.00394524006785813 0.00784713775650332 0.0119123252858958 0.0239779402949287 0 0.0343183984747378 0.0075648687495272 0.0230636171439554 0.0228232340522652 0.0228275757114594 0 0.0157984122595679 0.0273362752372398 0.0195817341583771 0.0780792504391958 0 0 0 0 0 0.00385252533035405 0.00390930414386239 0 0.00384644972690207 0.0153403643336529
"любовь" 0.00788954635108481 0.0116609009989505 0.00399201596806387 0.00780609656141446 0.0198680759755225 0.0159680638722555 0.0117137167623287 0.00390365772729047 0.00791577614185071 0.0117439812096301 0.0121231714216439 0.00391849529780564 0.0158171537031911 0 0.0079088895919013 0.00789048013571626 0.0156942755130066 0.00794155019059721 0.0319705870599049 0.00396951413147031 0.00381315538608198 0.0113473031242908 0.0153757447626369 0.0114116170261326 0.0114137878557297 0.0234549079394863 0.0197480153244599 0.00390518217674855 0.0195817341583771 0.0156158500878392 0.0234640804035822 0.023665838362324 0.0306807286673058 0.0231347599768652 0.0194643413266895 0.00385252533035405 0.0586395621579359 0.0418155553866038 0.00384644972690207 0.0115052732502397
"отчего" 0.0394477317554241 0.00388696699965017 0.0199600798403194 0.0117091448421217 0.0516569975363586 0.0558882235528942 0.0234274335246574 0.0390365772729047 0.0395788807092535 0.0822078684674104 0.0363695142649317 0.00391849529780564 0.0158171537031911 0.00393019965414243 0.00395444479595065 0.00394524006785813 0.00392356887825166 0 0 0.00396951413147031 0.00381315538608198 0 0 0.0152154893681768 0.0266321716633693 0 0.00394960306489198 0.00390518217674855 0.0156653873267017 0.0273277376537185 0.0039106800672637 0.00394430639372066 0.00767018216682646 0.0115673799884326 0 0 0.0117279124315872 0.00380141412605489 0.00384644972690207 0.00383509108341323
"дороге" 0.0394477317554241 0.0155478679986007 0.0159680638722555 0.00780609656141446 0.015894460780418 0.00798403193612774 0 0.0234219463637428 0.0316631045674028 0.00782932080642004 0.00404105714054797 0.0156739811912226 0.0237257305547867 0.0117905989624273 0.0118633343878519 0.00789048013571626 0.011770706634755 0.00794155019059721 0 0.0238170847888218 0.00381315538608198 0.0075648687495272 0 0.0152154893681768 0 0 0.00789920612978396 0.0195259108837427 0.0313307746534033 0.0936951005270349 0.0195534003363185 0.0157772255748827 0 0.0115673799884326 0.0350358143880411 0 0.0156372165754496 0.0152056565042196 0.00384644972690207 0.00383509108341323
"квартира" 0.0118343195266272 0.0155478679986007 0.00798403193612774 0.0195152414035362 0.00794723039020901 0.0518962075848303 0.0351411502869861 0.0312292618183238 0.0197894403546268 0.0234879624192601 0.00404105714054797 0 0.00395428842579778 0.0117905989624273 0.0158177791838026 0.0157809602714325 0.011770706634755 0.0119123252858958 0.0119889701474643 0.0396951413147031 0.00381315538608198 0.0037824343747636 0 0.019019361710221 0.00760919190381981 0.0195457566162386 0.00789920612978396 0.00781036435349709 0.0156653873267017 0.00780792504391958 0.039106800672637 0.00788861278744133 0.00767018216682646 0.00385579332947754 0.0506072874493927 0.00385252533035405 0 0.0266098988823842 0 0
"лица" 0.0118343195266272 0.0194348349982509 0.00798403193612774 0.0195152414035362 0.031788921560836 0.0119760479041916 0.0117137167623287 0.0234219463637428 0.0118736642127761 0.0117439812096301 0.0121231714216439 0.00391849529780564 0.0276800189805844 0.0157207986165697 0.0553622271433091 0.0512881208821557 0.00784713775650332 0.00794155019059721 0.0119889701474643 0.0119085423944109 0 0.0075648687495272 0.0115318085719777 0.019019361710221 0.0114137878557297 0.0195457566162386 0.0118488091946759 0.0234310930604913 0.00783269366335083 0.0195198126097989 0.0195534003363185 0.0157772255748827 0.0115052732502397 0.0115673799884326 0.0116786047960137 0.00385252533035405 0 0.0114042423781647 0 0
"магазин" 0.00788954635108481 0.00388696699965017 0.0598802395209581 0.0234182896842434 0.0198680759755225 0.0239520958083832 0.0195228612705478 0.00390365772729047 0 0.0313172832256802 0.0202052857027398 0.0313479623824451 0.00790857685159555 0.0117905989624273 0.0474533375514078 0 0.011770706634755 0 0.0279742636774168 0.0198475706573515 0.00381315538608198 0 0 0.019019361710221 0.00380459595190991 0.00781830264649545 0.00789920612978396 0.00781036435349709 0.0234980809900525 0 0.0312854405381096 0 0.0153403643336529 0.0231347599768652 0.0311429461227032 0.00385252533035405 0 0.0190070706302745 0.0153857989076083 0
"осторожно" 0.0433925049309665 0.00388696699965017 0.0159680638722555 0.00780609656141446 0.023841691170627 0.0279441117764471 0.0117137167623287 0.0117109731818714 0.0316631045674028 0.0117439812096301 0.0202052857027398 0.00391849529780564 0.03558859583218 0.0235811979248546 0.0118633343878519 0.0236714404071488 0.00784713775650332 0.0119123252858958 0.00799264676497622 0.00396951413147031 0.0152526215443279 0.0151297374990544 0.0192196809532962 0.0038038723420442 0.00760919190381981 0 0.00394960306489198 0.00390518217674855 0 0.00390396252195979 0.0039106800672637 0.0197215319686033 0.00767018216682646 0.00385579332947754 0.0194643413266895 0.0654929306160188 0.00390930414386239 0.0114042423781647 0.00769289945380414 0.0268456375838926
"попыталась" 0.0118343195266272 0.0194348349982509 0.0479041916167665 0.0390304828070723 0.0198680759755225 0.031936127744511 0.00390457225410956 0.00390365772729047 0.055410432992955 0.0313172832256802 0.0202052857027398 0 0.0474514611095733 0.0432321961955667 0.0158177791838026 0.00789048013571626 0.0156942755130066 0.0158831003811944 0.00399632338248811 0.00793902826294062 0.00381315538608198 0 0.0115318085719777 0.0152154893681768 0 0.00781830264649545 0.0197480153244599 0.0117155465302456 0.00783269366335083 0.0390396252195979 0.0039106800672637 0.00394430639372066 0.00383509108341323 0 0.0038928682653379 0 0.00390930414386239 0 0.00384644972690207 0.00383509108341323
"своем" 0 0.0116609009989505 0.0199600798403194 0.00390304828070723 0.00397361519510451 0.0119760479041916 0 0.0117109731818714 0.00791577614185071 0.0117439812096301 0.0121231714216439 0.0156739811912226 0.00790857685159555 0.00786039930828486 0.0118633343878519 0.00789048013571626 0.0235414132695099 0.0119123252858958 0.0159852935299524 0.0119085423944109 0.0343183984747378 0.0075648687495272 0.0461272342879108 0.0114116170261326 0.0190229797595495 0.0234549079394863 0.0197480153244599 0.0156207287069942 0.0313307746534033 0.0390396252195979 0.0312854405381096 0.011832919181162 0.0115052732502397 0.00771158665895508 0.0116786047960137 0.0115575759910621 0 0.0152056565042196 0.0115393491807062 0.0115052732502397
"дней" 0.0157790927021696 0.023321801997901 0.00399201596806387 0.00780609656141446 0.00794723039020901 0.0119760479041916 0.0234274335246574 0.0117109731818714 0.0158315522837014 0.0117439812096301 0.0121231714216439 0.00783699059561128 0.00395428842579778 0.0196509982707122 0.0079088895919013 0.0236714404071488 0.011770706634755 0.0039707750952986 0.00399632338248811 0.0277865989202922 0.0228789323164919 0.0226946062485816 0.0345954257159331 0.0038038723420442 0.0228275757114594 0.0234549079394863 0.0276472214542438 0.00781036435349709 0.0117490404950262 0 0.0351961206053733 0.035498757543486 0.0268456375838926 0.00771158665895508 0.0077857365306758 0.00770505066070809 0 0.00760282825210979 0.00769289945380414 0.00767018216682646
"заметил" 0.0118343195266272 0.0155478679986007 0.0119760479041916 0.00390304828070723 0.00397361519510451 0.00798403193612774 0.00780914450821912 0.00390365772729047 0 0.00391466040321002 0.00808211428109593 0.0509404388714734 0.0118628652773933 0.0117905989624273 0.0237266687757039 0.0394524006785813 0.00784713775650332 0.0277954256670902 0.0119889701474643 0.0277865989202922 0.0381315538608198 0.0226946062485816 0.0153757447626369 0.0076077446840884 0.00380459595190991 0.00781830264649545 0.00394960306489198 0.0195259108837427 0.0234980809900525 0.00390396252195979 0.0039106800672637 0.011832919181162 0.0383509108341323 0.0308463466358203 0.0116786047960137 0.00770505066070809 0.0117279124315872 0.0114042423781647 0 0.0115052732502397
"идти" 0.0157790927021696 0.00388696699965017 0.0119760479041916 0.00390304828070723 0.00794723039020901 0.00798403193612774 0.0117137167623287 0.0117109731818714 0.0197894403546268 0.0313172832256802 0.00404105714054797 0.0156739811912226 0.0197714421289889 0.0117905989624273 0.0118633343878519 0.0118357202035744 0.0274649821477616 0.0119123252858958 0.00799264676497622 0.0198475706573515 0.00762631077216397 0.0113473031242908 0.0192196809532962 0.0266271063943094 0.0152183838076396 0.0117274539697432 0.0394960306489198 0.0351466395907369 0.00391634683167541 0.0156158500878392 0.0195534003363185 0.0157772255748827 0.0230105465004794 0.0231347599768652 0.0077857365306758 0.00385252533035405 0.0156372165754496 0.00380141412605489 0.00384644972690207 0.00767018216682646
"мысли" 0.00788954635108481 0.0116609009989505 0.00798403193612774 0.00390304828070723 0.015894460780418 0 0.0234274335246574 0.00780731545458094 0.0237473284255521 0.0274026228224701 0.00404105714054797 0.00783699059561128 0.0197714421289889 0 0.0158177791838026 0.00789048013571626 0 0.019853875476493 0.00799264676497622 0.0158780565258812 0.0228789323164919 0.0113473031242908 0.0230636171439554 0.0304309787363536 0.0304367676152793 0.0390915132324772 0.0118488091946759 0.00781036435349709 0.0313307746534033 0.0234237751317587 0.0117320402017911 0.00788861278744133 0.0153403643336529 0.00771158665895508 0.0077857365306758 0.0154101013214162 0.00781860828772478 0.0228084847563294 0.00769289945380414 0.0115052732502397
"никакой" 0.00788954635108481 0.023321801997901 0.00798403193612774 0.0117091448421217 0.00794723039020901 0.0159680638722555 0.00780914450821912 0.00390365772729047 0.0118736642127761 0.0195733020160501 0.0121231714216439 0.00391849529780564 0 0.00786039930828486 0.0079088895919013 0.0118357202035744 0 0.0039707750952986 0.0159852935299524 0.00396951413147031 0.0343183984747378 0.0226946062485816 0.00768787238131847 0.0266271063943094 0.0190229797595495 0.0234549079394863 0.0118488091946759 0.0351466395907369 0.0156653873267017 0.0234237751317587 0.0039106800672637 0.00394430639372066 0.00767018216682646 0.0154231733179102 0.0038928682653379 0.0192626266517702 0 0.0304113130084391 0.0500038464497269 0.0345158197507191
"принялась" 0.0118343195266272 0.0544175379951024 0.00798403193612774 0.00390304828070723 0.023841691170627 0.0598802395209581 0.0819960173363008 0.0507475504547761 0.0277052164964775 0.0274026228224701 0.0202052857027398 0 0.00395428842579778 0.00393019965414243 0.00395444479595065 0.0157809602714325 0.00784713775650332 0 0.0159852935299524 0 0 0.0151297374990544 0.0115318085719777 0.0038038723420442 0.00380459595190991 0.00390915132324772 0.0118488091946759 0.0312414574139884 0.00391634683167541 0.0195198126097989 0.00782136013452739 0 0.00383509108341323 0.00771158665895508 0 0 0.0156372165754496 0 0.0115393491807062 0.00767018216682646
"ради" 0.0236686390532544 0.00777393399930035 0.00399201596806387 0.0195152414035362 0.023841691170627 0.0159680638722555 0.0195228612705478 0.00390365772729047 0.0118736642127761 0 0.0202052857027398 0.0235109717868339 0.0197714421289889 0.00393019965414243 0.00395444479595065 0.00789048013571626 0.0156942755130066 0.0158831003811944 0.035966910442393 0.00396951413147031 0.0114394661582459 0.0151297374990544 0.0192196809532962 0.0304309787363536 0.00760919190381981 0.0117274539697432 0 0.0117155465302456 0.00391634683167541 0 0.0351961206053733 0.023665838362324 0.0191754554170662 0.050125313283208 0.0116786047960137 0.0115575759910621 0.00390930414386239 0.0114042423781647 0.00769289945380414 0.0115052732502397
"тетка" 0.0157790927021696 0.0116609009989505 0.00399201596806387 0.0273213379649506 0.0516569975363586 0.0279441117764471 0.0195228612705478 0.0273256040910333 0.0316631045674028 0.0665492268545704 0.0323284571243837 0 0.0197714421289889 0.00786039930828486 0 0.00394524006785813 0.00784713775650332 0.0039707750952986 0.0279742636774168 0.0119085423944109 0.00762631077216397 0.0151297374990544 0 0.019019361710221 0 0.00781830264649545 0 0.0546725504744796 0.00391634683167541 0.0312317001756783 0.0312854405381096 0 0 0 0 0 0 0 0.0115393491807062 0
"вечер" 0.0315581854043393 0.0194348349982509 0 0.00780609656141446 0.015894460780418 0.0119760479041916 0.0234274335246574 0 0.00395788807092535 0.00782932080642004 0.0121231714216439 0.0235109717868339 0.00395428842579778 0.00393019965414243 0.0118633343878519 0.0118357202035744 0.0156942755130066 0.00794155019059721 0.00799264676497622 0.00793902826294062 0 0.0037824343747636 0.00384393619065923 0.0152154893681768 0.00760919190381981 0.0156366052929909 0.0276472214542438 0.0195259108837427 0 0.0156158500878392 0.0273747604708459 0.023665838362324 0.0421860019175455 0.0192789666473877 0.0077857365306758 0.0346727279731864 0.00781860828772478 0.0304113130084391 0.0269251480883145 0.0153403643336529
