Source,Target,Weight,Type
ВТ_Алые паруса Синей бороды,ДВ_Аллергия на кота Базилио,6,undirected
ВТ_Алые паруса Синей бороды,ДВ_Кактус второй свежести,1,undirected
ВТ_Алые паруса Синей бороды,ДВ_Коза и семеро волчат,7,undirected
ВТ_Алые паруса Синей бороды,ДВ_Пиявка голубых кровей,3,undirected
ВТ_Алые паруса Синей бороды,ДВ_Слон для Дюймовочки,3,undirected
ВТ_Алые паруса Синей бороды,ЕР_Девочка Красная Тапочка,1,undirected
ВТ_Алые паруса Синей бороды,ЕР_Коронная роль Козы-дерезы,4,undirected
ВТ_Алые паруса Синей бороды,ТС_Бегемот под майонезом,1,undirected
ВТ_Алые паруса Синей бороды,ТС_Мохнатая лапа Герасима,6,undirected
ВТ_Алые паруса Синей бороды,ТС_Оберег от испанской страсти,7,undirected
ВТ_Алые паруса Синей бороды,ТС_Чёрная жемчужина раздора,7,undirected
ВТ_Алые паруса Синей бороды,ТС_Чугунные сапоги-скороходы,17,undirected
ВТ_Билет на ковер-вертолет,ВТ_Кекс в большом городе,10,undirected
ВТ_Билет на ковер-вертолет,ВТ_Монстры из хорошей семьи,2,undirected
ВТ_Билет на ковер-вертолет,ВТ_Муха в самолете,3,undirected
ВТ_Билет на ковер-вертолет,ДВ_Досье на Крошку Че,44,undirected
ВТ_Билет на ковер-вертолет,ДВ_Небо в рублях,9,undirected
ВТ_Билет на ковер-вертолет,ЕР_Безумная кепка Мономаха,7,undirected
ВТ_Билет на ковер-вертолет,ЕР_Лампа разыскивает Алладина,22,undirected
ВТ_Билет на ковер-вертолет,ЕР_Любовь-морковь и третий лишний,10,undirected
ВТ_Билет на ковер-вертолет,ЕР_Фигура легкого эпатажа,2,undirected
ВТ_Бинокль для всевидящего ока,ВТ_Блеск и нищета инстаграма,19,undirected
ВТ_Бинокль для всевидящего ока,ВТ_Вставная челюсть Щелкунчика,4,undirected
