id,автор,название,серия,series_code,год,series_slug,имя_файла,путь_исходник,путь
viola_012,Дарья Донцова,Любимые забавы папы Карло,Виола Тараканова,ВТ,2004,viola,ВТ_Любимые забавы папы Карло.txt,txt ВиолаТараканова/12 Любимые забавы папы Карло.txt,viola/ВТ_Любимые забавы папы Карло.txt
viola_036,Дарья Донцова,Магия госпожи Метелицы,Виола Тараканова,ВТ,2015,viola,ВТ_Магия госпожи Метелицы.txt,txt ВиолаТараканова/36 Магия госпожи Метелицы.txt,viola/ВТ_Магия госпожи Метелицы.txt
viola_007,Дарья Донцова,Микстура от косоглазия,Виола Тараканова,ВТ,2003,viola,ВТ_Микстура от косоглазия.txt,txt ВиолаТараканова/07 Микстура от косоглазия.txt,viola/ВТ_Микстура от косоглазия.txt
viola_046,Дарья Донцова,Милашка на вираже,Виола Тараканова,ВТ,2020,viola,ВТ_Милашка на вираже.txt,txt ВиолаТараканова/46 Милашка на вираже.txt,viola/ВТ_Милашка на вираже.txt
viola_016,Дарья Донцова,Монстры из хорошей семьи,Виола Тараканова,ВТ,2007,viola,ВТ_Монстры из хорошей семьи.txt,txt ВиолаТараканова/16 Монстры из хорошей семьи.txt,viola/ВТ_Монстры из хорошей семьи.txt
viola_021,Дарья Донцова,Муму с аквалангом,Виола Тараканова,ВТ,2008,viola,ВТ_Муму с аквалангом.txt,txt ВиолаТараканова/21 Муму с аквалангом.txt,viola/ВТ_Муму с аквалангом.txt
viola_013,Дарья Донцова,Муха в самолете,Виола Тараканова,ВТ,2005,viola,ВТ_Муха в самолете.txt,txt ВиолаТараканова/13 Муха в самолете.txt,viola/ВТ_Муха в самолете.txt
viola_049,Дарья Донцова,Неудачная карьера мегеры,Виола Тараканова,ВТ,2022,viola,ВТ_Неудачная карьера мегеры.txt,txt ВиолаТараканова/49 Неудачная карьера мегеры.txt,viola/ВТ_Неудачная карьера мегеры.txt
viola_032,Дарья Донцова,Ночной кошмар Железного Любовника,Виола Тараканова,ВТ,2013,viola,ВТ_Ночной кошмар Железного Любовника.txt,txt ВиолаТараканова/32 Ночной кошмар Железного Любовника.txt,viola/ВТ_Ночной кошмар Железного Любовника.txt
viola_026,Дарья Донцова,Приданое лохматой обезьяны,Виола Тараканова,ВТ,2010,viola,ВТ_Приданое лохматой обезьяны.txt,txt ВиолаТараканова/26 Приданое лохматой обезьяны.txt,viola/ВТ_Приданое лохматой обезьяны.txt
viola_030,Дарья Донцова,Путеводитель по Лукоморью,Виола Тараканова,ВТ,2012,viola,ВТ_Путеводитель по Лукоморью.txt,txt ВиолаТараканова/30 Путеводитель по Лукоморью.txt,viola/ВТ_Путеводитель по Лукоморью.txt
viola_006,Дарья Донцова,Скелет из пробирки,Виола Тараканова,ВТ,2002,viola,ВТ_Скелет из пробирки.txt,txt ВиолаТараканова/06 Скелет из пробирки .txt,viola/ВТ_Скелет из пробирки.txt
viola_027,Дарья Донцова,Страстная ночь в зоопарке,Виола Тараканова,ВТ,2010,viola,ВТ_Страстная ночь в зоопарке.txt,txt ВиолаТараканова/27 Страстная ночь в зоопарке.txt,viola/ВТ_Страстная ночь в зоопарке.txt
viola_020,Дарья Донцова,Стриптиз Жар-птицы,Виола Тараканова,ВТ,2008,viola,ВТ_Стриптиз Жар-птицы.txt,txt ВиолаТараканова/20 Стриптиз Жар-птицы.txt,viola/ВТ_Стриптиз Жар-птицы.txt
viola_051,Дарья Донцова,Торт от Ябеды-корябеды,Виола Тараканова,ВТ,2023,viola,ВТ_Торт от Ябеды-корябеды.txt,txt ВиолаТараканова/51 Торт от Ябеды-корябеды.txt,viola/ВТ_Торт от Ябеды-корябеды.txt
viola_037,Дарья Донцова,Три желания женщины-мечты,Виола Тараканова,ВТ,2015,viola,ВТ_Три желания женщины-мечты.txt,txt ВиолаТараканова/37 Три желания женщины-мечты.txt,viola/ВТ_Три желания женщины-мечты.txt
viola_002,Дарья Донцова,Три мешка хитростей,Виола Тараканова,ВТ,2001,viola,ВТ_Три мешка хитростей.txt,txt ВиолаТараканова/02 Три мешка хитростей.txt,viola/ВТ_Три мешка хитростей.txt
viola_035,Дарья Донцова,Ужас на крыльях ночи,Виола Тараканова,ВТ,2014,viola,ВТ_Ужас на крыльях ночи.txt,txt ВиолаТараканова/35 Ужас на крыльях ночи.txt,viola/ВТ_Ужас на крыльях ночи.txt
