автор,название,серия,год,папка,имя_файла,conllu_cache,Number of Sentences,Number of Words,Number of Clauses,Mean Sentence Length,Mean Clause Length,Mean Number of Clauses per Sentence,Mean Tree Depth,Median Tree Depth,Minimum Tree Depth,Maximum Tree Depth,Mean Dependency Distance,Node-to-Terminal-Node Ratio,Average Levenshtein Distance between POS,Average Levenshtein Distance between deprel,Average NP Length,Complex NP Ratio,Number of Combined Clauses,Number of Coordinate Clauses,Number of Subordinate Clauses,Coordinate to Combined Clause Ratio,Subordinate to Combined Clause Ratio,Coordinate to Subordinate Clause Ratio,Coordinate Clause to Sentence Ratio,Subordinate Clause to Sentence Ratio,root_ratio,acl_ratio,acl:relcl_ratio,advcl_ratio,advcl:relcl_ratio,ccomp_ratio,csubj_ratio,csubj:outer_ratio,nsubj:outer_ratio,parataxis_ratio,xcomp_ratio,conj_ratio,__compute_seconds__
Дарья Донцова,Горячая любовь снеговика,Виола Тараканова,2008,viola,ВТ_Горячая любовь снеговика.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Горячая любовь снеговика.txt.russian-syntagrus-ud-2.12-230717.conllu,4383,36849,10044,8.41,3.67,2.29,3.71,3.0,2,12,2.66,1.78,9.25,9.32,1.59,0.41,5661,3934,1727,0.69,0.31,2.28,0.9,0.39,0.43637992831541217,0.014436479490242932,0.011648745519713262,0.043010752688172046,0.0,0.024591796097172443,0.022301871764237355,0.0,0.0,0.1911589008363202,0.05595380326563122,0.20051772202309837,6.49
Дарья Донцова,Дезертир из рая,Виола Тараканова,2024,viola,ВТ_Дезертир из рая.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Дезертир из рая.txt.russian-syntagrus-ud-2.12-230717.conllu,4666,36811,9854,7.89,3.74,2.11,3.72,3.0,2,12,2.57,1.81,8.89,9.04,1.62,0.43,5188,3273,1915,0.63,0.37,1.71,0.7,0.41,0.473513294093769,0.01156890602800893,0.021818550842297543,0.03917190988431094,0.0,0.03521412624314999,0.024152628374264257,0.0,0.0,0.1586157905419119,0.06241120357215344,0.17353359042013394,5.93
Дарья Донцова,Дьявол носит лапти,Виола Тараканова,2011,viola,ВТ_Дьявол носит лапти.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Дьявол носит лапти.txt.russian-syntagrus-ud-2.12-230717.conllu,4041,36831,9649,9.11,3.82,2.39,3.91,4.0,2,12,2.69,1.82,10.54,10.05,1.64,0.43,5608,3696,1912,0.66,0.34,1.93,0.91,0.47,0.4187998756347808,0.027360348222613743,0.016374753860503678,0.0409368846512592,0.0,0.028189449683905066,0.025702145300031093,0.0,0.0,0.16364390092237538,0.05959166753031402,0.21940097419421703,6.85
Дарья Донцова,Завещание рождественской утки,Виола Тараканова,2013,viola,ВТ_Завещание рождественской утки.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Завещание рождественской утки.txt.russian-syntagrus-ud-2.12-230717.conllu,3917,36839,9551,9.4,3.86,2.44,3.98,4.0,2,15,2.7,1.81,9.45,11.39,1.65,0.43,5634,3451,2183,0.61,0.39,1.58,0.88,0.56,0.410114124175479,0.02313893833106481,0.02135901999790598,0.0514082295047639,0.0,0.03695948068265103,0.026070568526855825,0.0,0.0,0.16825463302272015,0.06962621715003664,0.19306878860852267,6.95
Дарья Донцова,Закон молодильного яблочка,Виола Тараканова,2017,viola,ВТ_Закон молодильного яблочка.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Закон молодильного яблочка.txt.russian-syntagrus-ud-2.12-230717.conllu,4259,36788,9565,8.64,3.85,2.25,3.8,4.0,2,11,2.71,1.8,9.89,9.84,1.63,0.42,5306,3399,1907,0.64,0.36,1.78,0.8,0.45,0.4451646628332462,0.016832200731834814,0.026868792472556195,0.04317825405122844,0.0,0.031573444851019344,0.022164140094093048,0.0,0.0,0.17919498170412965,0.05886042864610559,0.17616309461578672,6.83
Дарья Донцова,Замок храпящей красавицы,Виола Тараканова,2011,viola,ВТ_Замок храпящей красавицы.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Замок храпящей красавицы.txt.russian-syntagrus-ud-2.12-230717.conllu,3875,36829,9392,9.5,3.92,2.42,3.93,4.0,2,13,2.74,1.8,10.13,10.58,1.64,0.43,5517,3613,1904,0.65,0.35,1.9,0.93,0.49,0.41258517887563884,0.027044293015332198,0.019591141396933562,0.04195059625212947,0.0,0.03002555366269165,0.023956558773424192,0.0,0.0,0.16034923339011925,0.060157580919931855,0.22433986371379896,6.6
Дарья Донцова,Зимнее лето весны,Виола Тараканова,2007,viola,ВТ_Зимнее лето весны.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Зимнее лето весны.txt.russian-syntagrus-ud-2.12-230717.conllu,4868,36837,10384,7.57,3.55,2.13,3.55,3.0,2,13,2.63,1.8,8.27,8.5,1.6,0.42,5516,3765,1751,0.68,0.32,2.15,0.77,0.36,0.4687018489984592,0.020127118644067795,0.008763482280431433,0.04699537750385208,0.0,0.020704930662557783,0.020704930662557783,0.0,0.0,0.17912172573189522,0.05142526964560863,0.1834553158705701,6.34
Дарья Донцова,Инкогнито с Бродвея,Виола Тараканова,2017,viola,ВТ_Инкогнито с Бродвея.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Инкогнито с Бродвея.txt.russian-syntagrus-ud-2.12-230717.conllu,4194,36817,9705,8.78,3.79,2.31,3.85,4.0,2,12,2.74,1.8,8.43,10.86,1.63,0.43,5511,3463,2048,0.63,0.37,1.69,0.83,0.49,0.4321483771251932,0.01895929933024214,0.02472952086553323,0.04678001030396703,0.0,0.03503348789283874,0.024420401854714065,0.0,0.0,0.18928387429160226,0.06110252447192169,0.16754250386398764,6.38
Дарья Донцова,Каникулы в Простофилино,Виола Тараканова,2007,viola,ВТ_Каникулы в Простофилино.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Каникулы в Простофилино.txt.russian-syntagrus-ud-2.12-230717.conllu,4426,36862,10172,8.33,3.62,2.3,3.74,3.0,2,12,2.67,1.81,8.78,9.5,1.65,0.43,5746,3730,2016,0.65,0.35,1.85,0.84,0.46,0.43511600471883605,0.023987416437278804,0.014648053480141565,0.04709005112072356,0.0,0.020644907589461265,0.029885961462839165,0.0,0.0,0.1783326779394416,0.0619347227683838,0.18836020448289423,6.34
Дарья Донцова,Кекс в большом городе,Виола Тараканова,2005,viola,ВТ_Кекс в большом городе.txt,python_syntax part\dontsova_full_cache_conllu_udpipe\viola__ВТ_Кекс в большом городе.txt.russian-syntagrus-ud-2.12-230717.conllu,3663,36850,9924,10.06,3.71,2.71,3.95,4.0,2,15,2.97,1.8,12.29,11.6,1.62,0.43,6261,4222,2039,0.67,0.33,2.07,1.15,0.56,0.3691051995163241,0.02690447400241838,0.009572752922208787,0.051189036678758564,0.0,0.027005239822652155,0.023881499395405077,0.0,0.0,0.16767432486900444,0.06690850463522773,0.2577589681580008,7.03
